Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,Season,PPG
121,Dashen Bira,26,8,6,12,23,29,−6,30,,2014/15,1.1538461538461537
122,EEPCO,26,8,6,12,27,32,−5,30,,2014/15,1.1538461538461537
123,Dashen Bira,26,6,12,8,11,14,−3,30,,2013/14,1.1538461538461537
124,EEPCO,26,8,6,12,23,34,−11,30,,2015/16,1.1538461538461537
125,Dire Dawa Kenema,26,8,6,12,22,31,−9,30,,2015/16,1.1538461538461537
126,Ethiopian Insurance,27,5,16,6,23,25,−2,31,,2012/13,1.1481481481481481
127,Shire Endaselassie,30,7,13,10,29,39,−10,34,,2018/19,1.1333333333333333
128,Arba Minch Kenema,30,6,16,8,25,32,−7,34,,2016/17,1.1333333333333333
129,Sebeta Kenema,30,9,7,14,30,37,−7,34,,2010/11,1.1333333333333333
130,Hawassa Kenema,26,5,14,7,21,28,−7,29,,2011/12,1.1153846153846154
131,Adama Kenema,26,7,8,11,21,35,−14,29,,2011/12,1.1153846153846154
132,Wolkite,19,5,6,8,18,22,−4,21,,2020/21,1.105263157894737
133,EEPCO,30,6,15,9,23,24,−1,33,,2016/17,1.1
134,Arba Minch Kenema,30,8,9,13,25,32,−7,33,Relegation to 2018-19 Ethiopian Higher League,2017/18,1.1
135,Dashen Bira,26,6,10,10,22,28,−6,28,Relegation to 2015-16 National League,2015/16,1.0769230769230769
136,Sidama Bunna,26,5,13,8,24,29,−5,28,,2012/13,1.0769230769230769
137,Mekelakeya,30,8,8,14,37,57,−20,32,Relegation to Ethiopian Super League,2018/19,1.0666666666666667
138,Jimma Aba Buna F.C. (R),30,7,11,12,18,22,−4,32,Relegation to 2017-18 Ethiopian Higher League,2016/17,1.0666666666666667
139,Sidama Bunna,19,6,2,11,16,26,−10,20,Relegation to Ethiopian Super League,2020/21,1.0526315789473684
140,Dire Dawa Kenema,20,5,6,9,19,26,−7,21,,2020/21,1.05
141,Muger Cemento,26,6,9,11,20,26,−6,27,Relegation to 2015-16 National League,2014/15,1.0384615384615385
142,CBA,30,7,10,13,27,38,−11,31,Relegation to 2017-18 Ethiopian Higher League,2016/17,1.0333333333333334
143,Debub Police,34,9,8,17,19,40,−21,35,,2009/10,1.0294117647058822
144,Metehara Sugar,34,8,10,16,38,49,−11,34,,2009/10,1.0
145,CBA,26,5,11,10,22,29,−7,26,,2012/13,1.0
146,Harar Bira,26,5,11,10,23,36,−13,26,,2012/13,1.0
147,Debub Police,30,7,8,15,34,41,−7,29,Relegation to Ethiopian Super League,2018/19,0.9666666666666667
148,Muger Cemento,26,5,10,11,15,30,−15,25,,2012/13,0.9615384615384616
149,EEPCO,26,7,4,15,26,42,−16,25,,2013/14,0.9615384615384616
150,Dire Dawa Kenema,26,5,8,13,22,33,−11,23,Relegation to Ethiopian Second Division,2011/12,0.8846153846153846
151,Lideta Nyala,30,5,7,18,29,55,−26,22,,2010/11,0.7333333333333333
152,Harar Bira,26,4,7,15,16,38,−22,19,Relegation to Ethiopian Second Division,2013/14,0.7307692307692307
153,Woldia Kenema,30,4,9,17,14,43,−29,21,Relegation to 2018-19 Ethiopian Higher League,2017/18,0.7
154,Addis Abeba Kenema (R),30,4,8,18,17,39,−22,20,Relegation to 2017-18 Ethiopian Higher League,2016/17,0.6666666666666666
155,Jimma Aba Jifar,20,2,7,11,17,34,−17,13,Relegation to Ethiopian Super League,2020/21,0.65
156,Woldia Kenema,26,4,4,18,18,47,−29,16,Relegation to 2015-16 National League,2014/15,0.6153846153846154
157,Meta Abo Brewery (R),34,5,5,24,30,55,−25,20,Relegation to Ethiopian Second Division,2009/10,0.5882352941176471
158,Weha Serawoch,26,3,6,17,22,55,−33,15,Relegation to Ethiopian Second Division,2012/13,0.5769230769230769
159,Ethiopian Insurance,26,2,8,16,16,35,−19,14,Relegation to Ethiopian Second Division,2013/14,0.5384615384615384
160,Adama Kenema,26,2,7,17,15,41,−26,13,Relegation to Ethiopian Second Division,2012/13,0.5
161,Adama Kenema,19,2,3,14,15,37,−22,9,Relegation to Ethiopian Super League,2020/21,0.47368421052631576
162,Ayer Hayl,26,3,3,20,16,49,−33,12,Relegation to Ethiopian Second Division,2011/12,0.46153846153846156
163,Dedebit,30,4,1,25,21,68,−47,13,Relegation to Ethiopian Super League,2018/19,0.43333333333333335
164,Fincha Sugar (R),30,0,10,20,14,52,−38,10,Relegation to Ethiopian Second Division,2010/11,0.3333333333333333
165,Hadiya Hossana,26,1,5,20,22,50,−28,8,Relegation to 2015-16 National League,2015/16,0.3076923076923077
